\omega_1,\omega_2,\delta_min,\sigma,B,T,L,FPR,TPR,FNR
1/10,1/3,0.02,0.0,133,79,71,0.0,1.0,0.0
1/10,1/3,0.02,0.1,133,79,71,0.0,1.0,0.0
1/10,1/3,0.02,0.2,133,79,71,0.0,1.0,0.0
1/10,1/3,0.02,0.30000000000000004,133,79,71,0.0,0.995,0.005
1/10,1/3,0.02,0.4,133,79,71,0.0,0.895,0.105
1/10,1/3,0.02,0.5,133,79,71,0.04,0.785,0.215
1/10,1/3,0.02,0.6000000000000001,133,79,71,0.195,0.755,0.245
1/10,1/3,0.02,0.7000000000000001,133,79,71,0.33,0.7,0.3
1/10,1/4,0.02,0.0,133,79,71,0.0,1.0,0.0
1/10,1/4,0.02,0.1,133,79,71,0.0,1.0,0.0
1/10,1/4,0.02,0.2,133,79,71,0.0,1.0,0.0
1/10,1/4,0.02,0.30000000000000004,133,79,71,0.0,0.98,0.02
1/10,1/4,0.02,0.4,133,79,71,0.0,0.87,0.13
1/10,1/4,0.02,0.5,133,79,71,0.04,0.785,0.215
1/10,1/4,0.02,0.6000000000000001,133,79,71,0.195,0.695,0.305
1/10,1/4,0.02,0.7000000000000001,133,79,71,0.33,0.695,0.305
1/10,1/5,0.02,0.0,133,79,71,0.0,1.0,0.0
1/10,1/5,0.02,0.1,133,79,71,0.0,1.0,0.0
1/10,1/5,0.02,0.2,133,79,71,0.0,1.0,0.0
1/10,1/5,0.02,0.30000000000000004,133,79,71,0.0,0.98,0.02
1/10,1/5,0.02,0.4,133,79,71,0.0,0.855,0.145
1/10,1/5,0.02,0.5,133,79,71,0.04,0.76,0.24
1/10,1/5,0.02,0.6000000000000001,133,79,71,0.195,0.715,0.285
1/10,1/5,0.02,0.7000000000000001,133,79,71,0.33,0.695,0.305
1/10,1/6,0.02,0.0,133,79,71,0.0,1.0,0.0
1/10,1/6,0.02,0.1,133,79,71,0.0,1.0,0.0
1/10,1/6,0.02,0.2,133,79,71,0.0,1.0,0.0
1/10,1/6,0.02,0.30000000000000004,133,79,71,0.0,0.995,0.005
1/10,1/6,0.02,0.4,133,79,71,0.0,0.925,0.075
1/10,1/6,0.02,0.5,133,79,71,0.04,0.86,0.14
1/10,1/6,0.02,0.6000000000000001,133,79,71,0.195,0.79,0.21
1/10,1/6,0.02,0.7000000000000001,133,79,71,0.33,0.75,0.25
1/10,1/7,0.02,0.0,133,79,71,0.0,0.0,1.0
1/10,1/7,0.02,0.1,133,79,71,0.0,0.25,0.75
1/10,1/7,0.02,0.2,133,79,71,0.0,0.335,0.665
1/10,1/7,0.02,0.30000000000000004,133,79,71,0.0,0.325,0.675
1/10,1/7,0.02,0.4,133,79,71,0.0,0.38,0.62
1/10,1/7,0.02,0.5,133,79,71,0.04,0.34,0.66
1/10,1/7,0.02,0.6000000000000001,133,79,71,0.195,0.465,0.535
1/10,1/7,0.02,0.7000000000000001,133,79,71,0.33,0.5,0.5
1/10,1/8,0.02,0.0,133,79,71,0.0,1.0,0.0
1/10,1/8,0.02,0.1,133,79,71,0.0,1.0,0.0
1/10,1/8,0.02,0.2,133,79,71,0.0,1.0,0.0
1/10,1/8,0.02,0.30000000000000004,133,79,71,0.0,1.0,0.0
1/10,1/8,0.02,0.4,133,79,71,0.0,0.995,0.005
1/10,1/8,0.02,0.5,133,79,71,0.04,0.96,0.04
1/10,1/8,0.02,0.6000000000000001,133,79,71,0.195,0.9,0.1
1/10,1/8,0.02,0.7000000000000001,133,79,71,0.33,0.86,0.14
