,Row,Col,Sym,Diag
0,"(0.3364153859079134, 0.335044431353529)","(0.34793962598125816, 0.34632599128653074)","(0.3346108184540999, 0.3330263210640121)","(0.3242884983301183, 0.3232073105699854)"
1,"(0.38959257122663105, 0.3877398974764903)","(0.4011908585681121, 0.40031513643073635)","(0.3877796067484195, 0.3843756843710967)","(0.29645481674859575, 0.29546688143658656)"
2,"(0.36988181648282725, 0.36243276358749277)","(0.3615012989320171, 0.36059428122437487)","(0.35899325221779343, 0.35171130329878075)","(0.36604786661186195, 0.3632542155425474)"
3,"(0.34001088210084796, 0.33186812472819205)","(0.35257732966226085, 0.35120226093191254)","(0.34001088210084796, 0.3265871626180008)","(0.31132006451350835, 0.3106705800523363)"
4,"(0.32710040256283146, 0.32154567071144835)","(0.34665330835563357, 0.34589485621892846)","(0.32710040256283146, 0.313550856268464)","(0.2953560323534007, 0.29335068962625316)"
5,"(0.4484364968625366, 0.4458672877208588)","(0.36059200892673093, 0.3595543396459895)","(0.4434438408830964, 0.43862469653404657)","(0.44750978706726074, 0.44683394174596297)"
6,"(0.3806882361105237, 0.3779263747169781)","(0.3265265232132982, 0.32613390660615205)","(0.3720164915555765, 0.3674822987479104)","(0.378313845907045, 0.3767903006562468)"
7,"(0.36954117338357706, 0.36544556633067726)","(0.321852907541023, 0.3197984483040298)","(0.3651317417643414, 0.36237125942451476)","(0.349647846840516, 0.34373324964222046)"
8,"(0.3944151479888611, 0.38980771793063507)","(0.3986830156552511, 0.3976824013929652)","(0.38766798969779304, 0.38503379996107)","(0.3955001114412181, 0.39295875423672477)"
9,"(0.30396805622177014, 0.29158337165506953)","(0.27742046271921106, 0.2771413464868526)","(0.2929310489475886, 0.2792606996999547)","(0.31091974747259, 0.301680563224627)"
10,"(0.42403402368497745, 0.39109590045520004)","(0.39035586356176855, 0.3876003611346809)","(0.4126210309891175, 0.378938785378774)","(0.4262813369517767, 0.414716213632283)"
11,"(0.3886069910752752, 0.3858510328300063)","(0.3995079850447104, 0.3985154582676851)","(0.3870974096560369, 0.3820881864704224)","(0.3748634153816681, 0.37066936578429754)"
12,"(0.45113646559513954, 0.44483966356216376)","(0.2882054152829502, 0.2865761339870653)","(0.43970883810493444, 0.43244799878597784)","(0.3183551059181684, 0.3162269808225103)"
13,"(0.3195086250567398, 0.3120117103753285)","(0.33448303885957986, 0.3333091324036057)","(0.3195086250567398, 0.30561240023915814)","(0.3102057408438714, 0.3079724303808743)"
