,Row,Col,Sym,Diag
0,"(0.3658088347477144, 0.3623284215824709)","(0.3340263124840649, 0.33295543302250397)","(0.3516438278949715, 0.3491822537000574)","(0.3655523283806693, 0.36481427129355287)"
1,"(0.3068573166996029, 0.29965283670456155)","(0.2840812259455936, 0.28398163943827315)","(0.30352616685293066, 0.2967060151675155)","(0.3066295188801649, 0.302330188479692)"
2,"(0.42167299403955893, 0.4169089280037802)","(0.29733408138934136, 0.296475974133354)","(0.4167889135425247, 0.4123094924606594)","(0.4246218977231082, 0.4227104758411186)"
3,"(0.3663375315349252, 0.3384877352470955)","(0.2997584894527805, 0.2993314480985363)","(0.35966214080719505, 0.3347630191752843)","(0.3655411501664968, 0.3501312342137304)"
4,"(0.43543487191429875, 0.42812626464218906)","(0.3872809296881502, 0.3856376044967421)","(0.43171569179016434, 0.42485874622109865)","(0.37235096805218804, 0.3707452514628147)"
5,"(0.4312722288274723, 0.4302626587513967)","(0.39180740248361645, 0.3910965696931923)","(0.4238401944345165, 0.42221784337279566)","(0.39979638428442366, 0.39818526614933786)"
6,"(0.4200566068106967, 0.4176269866217721)","(0.3472740925093254, 0.34477071378029134)","(0.4055930100298297, 0.4021595921414668)","(0.28826966955512134, 0.28675600529487943)"
7,"(0.3676122993696529, 0.34940293808677925)","(0.3820749490772817, 0.38055774023148614)","(0.3675003700779469, 0.34059777898182164)","(0.3337431520662759, 0.33310121219936234)"
8,"(0.35110535566702894, 0.3477516333300994)","(0.21799457879687523, 0.21764848596335162)","(0.3446743638394004, 0.34155585193282656)","(0.34888220464327724, 0.3473935633358996)"
9,"(0.3799637035639891, 0.3781712902174431)","(0.2641007740169321, 0.26290334843247165)","(0.3771652111497562, 0.3749002272183346)","(0.3790661877918593, 0.37842775262521827)"
10,"(0.43679523924069674, 0.43131054487098397)","(0.26583156369437977, 0.2647553170806588)","(0.42497938591220985, 0.420377327715589)","(0.4364856923040449, 0.43419826890880864)"
11,"(0.33119320905410277, 0.31965357268675365)","(0.3332475393852372, 0.3319240243274414)","(0.3259158334866662, 0.3173656265954139)","(0.33145757478945825, 0.3239383793061691)"
12,"(0.3891809820209784, 0.38670456600433345)","(0.36456272735845874, 0.3641748234765826)","(0.3780066696680259, 0.3749201600100288)","(0.39029257805853557, 0.38984068170881647)"
13,"(0.28939165676010303, 0.2859768086743183)","(0.28254049306617623, 0.28079148816292276)","(0.2793838904868643, 0.2765179458528749)","(0.285802545404915, 0.2827988277663616)"
14,"(0.4028470544620565, 0.3978408175035769)","(0.2710584414056506, 0.2703261213746364)","(0.39937738841873105, 0.3935206832068784)","(0.4072242673431268, 0.4058862725829158)"
15,"(0.31476160279747933, 0.3124609376669183)","(0.3173207568287668, 0.315425508425605)","(0.2986511326726541, 0.29630642829522946)","(0.3214925400590187, 0.3205880162114246)"
16,"(0.4329103544652445, 0.42926956483433587)","(0.3482259855780401, 0.34360748674481056)","(0.42861410986077864, 0.4233842046482065)","(0.43919252327056146, 0.4377286640637088)"
17,"(0.3582128165719205, 0.3572429072634383)","(0.32397329863617863, 0.32101253609034663)","(0.34641292330111473, 0.34416363065371813)","(0.3552291505254669, 0.35380844250145543)"
18,"(0.3951263086243121, 0.38903396791572853)","(0.4024115424819279, 0.40126688457589355)","(0.3848927910945631, 0.38237436070319786)","(0.3678171541020332, 0.36617443208261435)"
19,"(0.3909781861165563, 0.3865028793912162)","(0.386490678567169, 0.3851057392143066)","(0.3811933514416951, 0.37735832535115654)","(0.4003555025078642, 0.39909793018126827)"
20,"(0.33955111169298646, 0.335720142361444)","(0.3337811887590817, 0.333303700611682)","(0.3355616929188152, 0.33216572259330557)","(0.34216148755138764, 0.34067929304081707)"
21,"(0.41805368672002563, 0.41464260405585807)","(0.39406979867417136, 0.39376001672721317)","(0.4144119747997336, 0.4099492494595942)","(0.4162294576833453, 0.41466528319773294)"
22,"(0.4833232646562451, 0.47606858075819203)","(0.345868379458791, 0.34506934936792133)","(0.47578621685575073, 0.4658130071193254)","(0.48056197984506044, 0.47919250010967346)"
23,"(0.33662045115030015, 0.3326061296460432)","(0.27170772062651516, 0.2713747778201936)","(0.33487567278439034, 0.3296219684846764)","(0.33724618054363276, 0.3351096605100348)"
24,"(0.3342927846395075, 0.33216137025953696)","(0.2957021323513911, 0.2941191375054808)","(0.3239167703646533, 0.3222824129633768)","(0.33964714579030786, 0.33810858536652943)"
