,Row,Col,Sym,Diag
0,"(0.37096491046974456, 0.3403150766093398)","(0.38793287130054, 0.38755600665072143)","(0.37096491046974456, 0.3352485020377146)","(0.3387454488013296, 0.33572284342138625)"
1,"(0.4100689013593901, 0.40593702113401064)","(0.4184934528568931, 0.41750443631231404)","(0.3964948010956997, 0.3945740885459543)","(0.2786420184786631, 0.278008373743943)"
2,"(0.33224717283524396, 0.33052645755012533)","(0.24405372552872207, 0.24351176911196815)","(0.32776005335089997, 0.32635123879561634)","(0.29862915762736264, 0.2961566106390705)"
3,"(0.3419214848372534, 0.33847131227818816)","(0.26065424907869594, 0.25992955310459254)","(0.33689850235663077, 0.33307218927177173)","(0.27673318501975397, 0.276004234657448)"
4,"(0.45362668812932294, 0.4483229915326755)","(0.3244369070142339, 0.3229052176212437)","(0.4493034929133799, 0.4445746223125011)","(0.45090231166758254, 0.45015322194953)"
5,"(0.40188405244936043, 0.395610801348973)","(0.34847032841915404, 0.34611363982391696)","(0.39682946408882913, 0.38952039892859747)","(0.3904174059543577, 0.37340566004452364)"
6,"(0.49174048540260473, 0.4873957864552153)","(0.3287884593359969, 0.3271373353669025)","(0.47762498421427413, 0.47321768958729904)","(0.3652859232208441, 0.3454437978907223)"
7,"(0.42384864730893135, 0.4175449356296561)","(0.3715013690963167, 0.37060323514871485)","(0.41261066539917113, 0.4063223305787923)","(0.3315799541558807, 0.3279267553532553)"
8,"(0.3507081661049236, 0.3470210983236969)","(0.3621148790859219, 0.36181576381119906)","(0.3507081661049236, 0.33884443576618006)","(0.3440362255739514, 0.3422460864159086)"
9,"(0.34968355920887906, 0.34502318489835315)","(0.3524883045245951, 0.3516107987946465)","(0.3436164780189481, 0.33883464252978657)","(0.35215077467594724, 0.3515081987645281)"
10,"(0.46467536749799065, 0.4596599616251109)","(0.30169981921381384, 0.30095856728021075)","(0.45796575995119837, 0.45375928416037514)","(0.46420397290131565, 0.46174518396861103)"
11,"(0.3804998244963813, 0.37737305790059206)","(0.3454476817159604, 0.3428621714125234)","(0.37488732126869906, 0.3727126576935068)","(0.34331185646550655, 0.33789335884024757)"
12,"(0.4311269644451876, 0.42117164492444503)","(0.37885939061181007, 0.3773298260872672)","(0.40640404890412984, 0.3980911669131909)","(0.3982253385810187, 0.39700898854845607)"
13,"(0.3913299509166299, 0.38751073850468976)","(0.252328182555425, 0.2513554893385451)","(0.3807623771244203, 0.37561513523143475)","(0.31069828916879805, 0.30557274330180023)"
14,"(0.34423223315471185, 0.3419561831577569)","(0.3276366553485648, 0.3261573739321397)","(0.33920854252133703, 0.3380287772816829)","(0.3513597366573271, 0.35001930617066845)"
