,Row,Col,Sym,Diag
0,"(0.13988563162950263, 0.1375492157149517)","(0.10898107431664039, 0.10842878876828488)","(0.1376169297256271, 0.13544391292986102)","(0.11542125112715085, 0.10792922081765931)"
1,"(0.12407042347097186, 0.12242478838432758)","(0.10787931972079479, 0.1073991001088278)","(0.12110250197847383, 0.11894101690786862)","(0.12256526537661705, 0.12185222616218512)"
2,"(0.1036546009609206, 0.10297824864278204)","(0.10649377895406664, 0.10607071473777241)","(0.10315782425953257, 0.1015784023125903)","(0.09263682682144436, 0.09214576043614911)"
3,"(0.14050980031971771, 0.13827377326737622)","(0.1117504254037518, 0.1115149208122802)","(0.13884783600704687, 0.13631405092118254)","(0.14257737565563655, 0.14209348989114712)"
4,"(0.17014255002160739, 0.1644473066213643)","(0.18125691390998366, 0.18012562671336707)","(0.17014255002160739, 0.1593819020099534)","(0.1293860804529805, 0.12545266508250874)"
5,"(0.1503210123360207, 0.14745859309260834)","(0.12726766627247266, 0.1268334401441541)","(0.14582881808500603, 0.14334077072649376)","(0.10445938144412115, 0.10398470528050735)"
6,"(0.1358770187786249, 0.13285649449116044)","(0.08354041769979104, 0.08146623582282486)","(0.13403455672664333, 0.13070443083785233)","(0.1309473512900936, 0.12951140959655996)"
7,"(0.14860583352991052, 0.14680929704054113)","(0.11471695189399045, 0.1140803158720548)","(0.14577832832217585, 0.1443106772630527)","(0.14743298626124712, 0.14688256473027275)"
8,"(0.13512352610330092, 0.12245062025268216)","(0.14431381754592243, 0.14396723621886365)","(0.13512352610330092, 0.12102501726998904)","(0.10729897279056555, 0.10660074857243686)"
9,"(0.12450614486001477, 0.12246929409896934)","(0.09374725023958386, 0.09344997430232438)","(0.12396473768618577, 0.12178472262635887)","(0.12481829542739853, 0.12424543670202401)"
10,"(0.121449892160155, 0.12105521756798543)","(0.10907072179070743, 0.10852653889341313)","(0.11695274712664716, 0.11651276619817164)","(0.11849979821398837, 0.11800268440718845)"
11,"(0.12604581590421504, 0.11839590846337045)","(0.11176915371493779, 0.11040521732204933)","(0.11930400699211752, 0.11356823141353867)","(0.12176923090983693, 0.11951707433277035)"
12,"(0.12952227658874815, 0.1287873794340164)","(0.12862646602813688, 0.12847185483639212)","(0.1285339368980134, 0.12732631176211062)","(0.11169789430991561, 0.11115966671130427)"
13,"(0.14021226808861742, 0.13953087602688852)","(0.11229691240181072, 0.11176624893035669)","(0.13450395909299262, 0.13311474195853068)","(0.13689444346459456, 0.13660601745398485)"
14,"(0.11613551545733958, 0.11449110611280333)","(0.10923722628347932, 0.10906330391510244)","(0.11522844788512232, 0.11379289646626356)","(0.11580376843047313, 0.11544349788515275)"
